COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2
INF;2;2016/17;REG;1;10;10/10/2016;true;barena;BAR LA ARENA ;2;2;ccelti;CÉLTICA;1;PEPE;JUAN;6;5;CHININ;CHININ II;;;ENDL;;
INF;3;;REG;1;;;false;barena;;;;ccelti;;2;OMAR;JUANMA;6;4;MAITE;FALO;;;ENDL;;
INF;4;;REG;1;;;false;barena;;;;ccelti;;3;LUIS;RODRIGO;5;6;PICHINA;BUSTO;;;ENDL;;
INF;5;;REG;1;;;false;barena;;;;ccelti;;4;DAVID;TURBO;1;6;ZELUAN;LUNA;;;ENDL;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;1;10;10/10/2016;true;bxareu;XAREU;3;1;cvalsa;CAFETERÍA VALSA;1;ROSA;BAO;4;6;JOSE;PARAMIO;;;ENDL;;
INF;8;;REG;1;;;false;bxareu;;;;cvalsa;;2;ARIAS;EULOGIO;6;3;FERNANDO;MURAS;;;ENDL;;
INF;9;;REG;1;;;false;bxareu;;;;cvalsa;;3;NANDO;GASPAR;6;2;GABI;CAMPANA;;;ENDL;;
INF;10;;REG;1;;;false;bxareu;;;;cvalsa;;4;CARLOS;OVIDIO;6;3;MARCOS;PEREZ;;;ENDL;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;1;10;10/10/2016;true;albora;SIDRERÍA ALBORADA ;3;1;monchi;PEÑA MUS MONCHI;1;PABLO;LUIS;6;2;DAVID;JUANJO;;;ENDL;;
INF;13;;REG;1;;;false;albora;;;;monchi;;2;GELO;GAN;6;5;FRAN;FONSO;;;ENDL;;
INF;14;;REG;1;;;false;albora;;;;monchi;;3;OMAR;CALVETE;1;6;YONATAN;JOTI;;;ENDL;;
INF;15;;REG;1;;;false;albora;;;;monchi;;4;GUELO;JOSE;6;2;RABADAN;BERNARDO;;;ENDL;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;1;10;10/10/2016;true;churre;CHURRERÍA;1;3;cgerma;CASA GERMÁN;1;PACO;JAVIER;3;6;KIKE;JAVIER;;;ENDL;;
INF;18;;REG;1;;;false;churre;;;;cgerma;;2;RICHARD;RAMON;3;6;JUAN;JOAQUIN;;;ENDL;;
INF;19;;REG;1;;;false;churre;;;;cgerma;;3;ROBERTO;JANO;6;4;JANEL;GABI;;;ENDL;;
INF;20;;REG;1;;;false;churre;;;;cgerma;;4;DIONI;LUIS;3;6;ALLENDE;FANDIÑO;;;ENDL;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;1;10;10/10/2016;true;4vient;4 VIENTOS;2;2;bcarba;PEÑA CARBAYEDO;1;KIRIKI;ANTONIO;5;6;ABLANEDO;LUIS;;;ENDL;;
INF;23;;REG;1;;;false;4vient;;;;bcarba;;2;GARRIDO;PERFE;6;5;CHUS;JOSE LUIS;;;ENDL;;
INF;24;;REG;1;;;false;4vient;;;;bcarba;;3;PRIETO;RAMON;6;3;CHE;MIGUEL;;;ENDL;;
INF;25;;REG;1;;;false;4vient;;;;bcarba;;4;CARLOTO;JOSE LUIS;2;6;TOÑO;JAVI;;;ENDL;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;
