COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;puntos sanción peña local;puntos sanción peña visitante;fin líena;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;2;31;27/12/2016;true;cgerma;CASA GERMÁN;3;1;cvalsa;CAFETERÍA VALSA;1;YONI;KIKE;6;3;NACHO;JENARO;;;ENDL;;YONI;;;;
INF;3;;REG;2;;;false;cgerma;;;;cvalsa;;2;ALLENDE;FANDIÑO;6;4;PARAMIO;MURAS;;;ENDL;;;;;;
INF;4;;REG;2;;;false;cgerma;;;;cvalsa;;3;JANEL;GABI;6;2;MARCOS;JOSE;;;ENDL;;;;;;
INF;5;;REG;2;;;false;cgerma;;;;cvalsa;;4;ESPINA;TOÑO;3;6;PEREZ;LUIS;;;ENDL;;;;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;2;31;27/12/2016;true;bcarba;PEÑA CARBAYEDO;2;2;ccelti;CÉLTICA;1;CHE;LUIS;4;6;PICHINA;BUSTO;;;ENDL;;;;;;
INF;8;;REG;2;;;false;bcarba;;;;ccelti;;2;TOÑO;JAVI;2;6;CHININ;CHININ II;;;ENDL;;;;;;
INF;9;;REG;2;;;false;bcarba;;;;ccelti;;3;ABLANEDO;LUIGI;6;4;ZELUAN;LUNA;;;ENDL;;;;;;
INF;10;;REG;2;;;false;bcarba;;;;ccelti;;4;CHUS;JOSE LUIS;6;5;FALO;JUAN;;;ENDL;;;;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;2;31;27/12/2016;true;andrea;BAR D'ANDREA;2;2;calolo;CA LOLO;1;KIKE;DELMI;6;2;MANU;PARAMIO;;;ENDL;;;;;;
INF;13;;REG;2;;;false;andrea;;;;calolo;;2;FERRERAS;ISMA;2;6;DANI;MARCOS;;;ENDL;;;;;;
INF;14;;REG;2;;;false;andrea;;;;calolo;;3;LITRI;OCTAVIO;6;2;SOPEÑA;EDU;;;ENDL;;;;;;
INF;15;;REG;2;;;false;andrea;;;;calolo;;4;TINO;JUAN;4;6;HUGO;ISIDORO;;;ENDL;;;;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;2;31;27/12/2016;true;8villa;8 VILLAS;2;2;barena;PEÑA LA ARENA ;1;NACHO;URE;3;6;PEPE;JUAN;;;ENDL;;;;;;
INF;18;;REG;2;;;false;8villa;;;;barena;;2;HUMBERTO;CHICHO;6;3;DAVID;ROMAN;;;ENDL;;;;;;
INF;19;;REG;2;;;false;8villa;;;;barena;;3;JUAN;KIKE;0;6;OMAR;FELIPE;;;ENDL;;;;;;
INF;20;;REG;2;;;false;8villa;;;;barena;;4;ALVARO;AGUSTIN;6;3;LUIS;RODRIGO;;;ENDL;;;;;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;2;31;27/12/2016;true;bxareu;XAREU;2;2;catere;CASA TERE;1;EULOGIO;OVIDIO;2;6;PICHI;VILA;;;ENDL;;;;;;
INF;23;;REG;2;;;false;bxareu;;;;catere;;2;MARAVILLAS;CARBAYO;6;5;PUPI;CESAR;;;ENDL;;;;;;
INF;24;;REG;2;;;false;bxareu;;;;catere;;3;NANDO;GASPAR;6;1;JAVI;CLETO;;;ENDL;;;;;;
INF;25;;REG;2;;;false;bxareu;;;;catere;;4;CARLOS;LOLO;4;6;ANTONIO;PEPE;;;ENDL;;;;;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;27;2016/17;REG;2;31;27/12/2016;true;habana;BAR HABANA;1;3;albora;SIDRERÍA ALBORADA ;1;PANA;JUANJO;6;2;PABLO;LUIS;;;ENDL;;;;;;
INF;28;;REG;2;;;false;habana;;;;albora;;2;SIXTO;JOSE;5;6;GUELO;JOSE;;;ENDL;;;;;;
INF;29;;REG;2;;;false;habana;;;;albora;;3;EVA;PACHIN;4;6;MANOLO;PADILLA;;;ENDL;;;;MANOLO;;
INF;30;;REG;2;;;false;habana;;;;albora;;4;PANAKAS;MARGA;4;6;OMAR;GELO;;;ENDL;;;;;;
COM;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;32;2016/17;REG;2;31;27/12/2016;true;brenya;LA BREÑA ;2;2;churre;CHURRERÍA;1;GLORIA;VIGIL;3;6;RAMON;JAVIER;;;ENDL;;;;;;
INF;33;;REG;2;;;false;brenya;;;;churre;;2;FRANCISCO;POLI;6;1;JOSE;JUAN;;;ENDL;;;;;;
INF;34;;REG;2;;;false;brenya;;;;churre;;3;VAQUERO II;MANOLITO;6;2;LUIS;AZA;;;ENDL;;;;;;
INF;35;;REG;2;;;false;brenya;;;;churre;;4;SALVA;JUAN;3;6;PACO;ROBERTO;;;ENDL;;;;;;
COM;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;37;2016/17;REG;2;31;27/12/2016;true;bcampy;BAR CAMPY;3;1;4vient;4 VIENTOS;1;LLORENTE;ANTONIO;6;4;PRIETO;JOSE LUIS;;;ENDL;;;;;;
INF;38;;REG;2;;;false;bcampy;;;;4vient;;2;PEPE;CASTILLO;6;1;PERFE;GARRIDO;;;ENDL;;;;;;
INF;39;;REG;2;;;false;bcampy;;;;4vient;;3;PACO;YIMI;6;2;KIRIKI;CARLOTO;;;ENDL;;;;;;
INF;40;;REG;2;;;false;bcampy;;;;4vient;;4;JOSE;ALFREDO;4;6;VALLEDOR;MALAGA;;;ENDL;;;;;;
COM;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;42;2016/17;REG;2;31;27/12/2016;true;capiol;CAFÉ BAR PIOL;1;3;sagrib;S.AG.-RÍAS BAIXAS;1;NINO;ANTONIO;5;6;FRAN;JAIME;;;ENDL;;;;;;
INF;43;;REG;2;;;false;capiol;;;;sagrib;;2;SALAS;ESTHER;3;6;NACHO;RIVERA;;;ENDL;;;;;;
INF;44;;REG;2;;;false;capiol;;;;sagrib;;3;CARMEN;FELIX;6;5;ARTURO;TONI;;;ENDL;;;;;;
INF;45;;REG;2;;;false;capiol;;;;sagrib;;4;OVIES;ORTIZ;2;6;COLLADO;BENJA;;;ENDL;;;;;;
COM;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;47;2016/17;REG;2;31;27/12/2016;true;acveig;AC MUS VEIGA;0;4;sagkam;S.AG.-KAME.NET;1;MILLAN;GUTI;4;6;ANGEL;MENOTI;;;ENDL;;;;;;
INF;48;;REG;2;;;false;acveig;;;;sagkam;;2;HERRERO;FAILDE;3;6;JUANI;ISIDRO;;;ENDL;;;;;;
INF;49;;REG;2;;;false;acveig;;;;sagkam;;3;EMILIO;ADAN;4;6;ROBERTO;LUIS PRIETO;;;ENDL;;;;;;
INF;50;;REG;2;;;false;acveig;;;;sagkam;;4;TINO;ZICO;5;6;ESTRELLA;JAVI;;;ENDL;;;;;;
COM;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;52;2016/17;REG;2;31;27/12/2016;true;sagcel;S.AG.-CÉLTICA;2;2;chalan;MUS EL CHALANÍN;1;IÑAKI;MARIAN;6;4;DOLO;POPE;;;ENDL;;;;;;
INF;53;;REG;2;;;false;sagcel;;;;chalan;;2;TRIKI;MANU;6;5;SAM;DANI;;;ENDL;;;;;;
INF;54;;REG;2;;;false;sagcel;;;;chalan;;3;ALICIA;FA;5;6;YOLI;SILVI;;;ENDL;;;;;;
INF;55;;REG;2;;;false;sagcel;;;;chalan;;4;CHEMA;MENENDEZ;2;6;LASTRA;KYLLO;;;ENDL;;;;;;
COM;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;57;2016/17;REG;2;31;27/12/2016;true;valmus;VALSA MUS;1;3;picosa;LA PICOSA;1;JUSTO;JULIO;2;6;KIKE;JOSE;;;ENDL;;;;;;
