COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;1;21;14/11/2016;true;4vient;4 VIENTOS;3;1;sagrib;S.AG.-RÍAS BAIXAS;1;KIRIKI;CARLOTO;6;3;CHEMI;VICTOR;;;;;;
INF;3;;REG;1;;;false;4vient;;;;sagrib;;2;GARRIDO;PERFE;6;5;ARTURO;TONI;;;;;;
INF;4;;REG;1;;;false;4vient;;;;sagrib;;3;RAMON;ANTONIO;6;3;ALVARO;COLLADO;;;;;;
INF;5;;REG;1;;;false;4vient;;;;sagrib;;4;PRIETO;MALAGA;0;6;FRAN;JAIME;;;;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;1;21;14/11/2016;true;churre;CHURRERÍA;2;2;sagkam;S.AG.-KAME.NET;1;RICHARD;JOSE;3;6;ANGEL;MENOTI;;;;;;
INF;8;;REG;1;;;false;churre;;;;sagkam;;2;AZA;JUAN;3;6;ALFONSO;ARTURO;;;;;;
INF;9;;REG;1;;;false;churre;;;;sagkam;;3;LUIS;JANO;6;5;JUANI;ISIDRO;;;;;;
INF;10;;REG;1;;;false;churre;;;;sagkam;;4;PACO;JAVIER;6;4;GAYOL;PINTO;;;;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;1;21;14/11/2016;true;albora;SIDRERÍA ALBORADA ;3;1;chalan;MUS EL CHALANÍN;1;PADILLA;FERNANDO;6;3;KYLLO;GORI;;;;;;
INF;13;;REG;1;;;false;albora;;;;chalan;;2;FALO;MARIANO;6;4;POPE;DIEGO;;;;;;
INF;14;;REG;1;;;false;albora;;;;chalan;;3;OMAR;LUIS;6;2;DOLO;DANI;;;;;;
INF;15;;REG;1;;;false;albora;;;;chalan;;4;GUELO;JOSE;4;6;LASTRA;FELIPE;;;;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;1;21;14/11/2016;true;bxareu;XAREU;2;2;picosa;LA PICOSA;1;ROSA;BAO;5;6;CHORI;KIKE;;;;;;
INF;18;;REG;1;;;false;bxareu;;;;picosa;;2;ARIAS;MARAVILLAS;4;6;PITI;ANIA;;;;;;
INF;19;;REG;1;;;false;bxareu;;;;picosa;;3;NANDO;GASPAR;6;3;CHUS;ARSENIO;;;;;;
INF;20;;REG;1;;;false;bxareu;;;;picosa;;4;CARLOS;LOLO;6;2;DAMIAN;CARLINOS;;;;;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;1;21;14/11/2016;true;barena;BAR LA ARENA ;3;1;cebano;CAFÉ BAR ÉBANO;1;PEPE;JUAN;6;1;TOÑO;MUÑIZ;;;;;;
INF;23;;REG;1;;;false;barena;;;;cebano;;2;FRAN;DAVID;6;4;FRAN;LUIS;;;;;;
INF;24;;REG;1;;;false;barena;;;;cebano;;3;FERMIN;JUANMA;4;6;CARLON;MIGUEL;;;;;;
INF;25;;REG;1;;;false;barena;;;;cebano;;4;FELIPE;OMAR;6;3;LOZANO;BARREIROS;;;;;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;;
INF;27;2016/17;REG;1;21;14/11/2016;true;calolo;CA LOLO;3;1;rcarol;RINCÓN DE CAROL;1;COTE;MANU;6;4;DEME;TEO;;;;;;
INF;28;;REG;1;;;false;calolo;;;;rcarol;;2;JUSTO;ISIDORO;6;2;GABI;ANIBAL;;;;;;
INF;29;;REG;1;;;false;calolo;;;;rcarol;;3;HUGO;ELOY;6;2;ALFREDO;BELLO;;;;;;
INF;30;;REG;1;;;false;calolo;;;;rcarol;;4;SOPEÑA;EDU;4;6;ALFONSO;CHUS;;;;;;
COM;31;;;;;;;;;;;;;;;;;;;;;;;;;
INF;32;2016/17;REG;1;21;14/11/2016;true;ccelti;CÉLTICA;3;1;valmus;VALSA MUS;1;MAITE;FALO;1;6;JAVI;FELIPE;;;;;;
INF;33;;REG;1;;;false;ccelti;;;;valmus;;2;CHININ;CHININ II;6;3;JANDRO;FERNANDO;;;;;;
INF;34;;REG;1;;;false;ccelti;;;;valmus;;3;PICHINA;BUSTO;6;2;MEDINA;ALFREDO;;;;;;
INF;35;;REG;1;;;false;ccelti;;;;valmus;;4;LUNA;ZELUAN;6;2;JOSE LUIS;MIGUEL;;;;;;
COM;36;;;;;;;;;;;;;;;;;;;;;;;;;
INF;37;2016/17;REG;1;21;14/11/2016;true;cvalsa;CAFETERÍA VALSA;3;1;sagcel;S.AG.-CÉLTICA;1;NACHO;MARCOS;0;6;IÑAKI;JAVI;;;;;;
INF;38;;REG;1;;;false;cvalsa;;;;sagcel;;2;FERNANDO;MURAS;6;4;SONIA;JOSE;;;;;;
INF;39;;REG;1;;;false;cvalsa;;;;sagcel;;3;GABI;CAMPANA;6;5;TRIKI;CHEMA;;;;;;
INF;40;;REG;1;;;false;cvalsa;;;;sagcel;;4;IÑAKI;PEREZ;6;2;CARLOS;FA;;;;;;
COM;41;;;;;;;;;;;;;;;;;;;;;;;;;
