COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;2;28;15/12/2016;true;cgerma;CASA GERMÁN;2;2;bcarba;PEÑA CARBAYEDO;1;ESPINA;TOÑO;3;6;TOÑO;JAVI;;;;;;
INF;3;;REG;2;;;false;cgerma;;;;bcarba;;2;JANEL;GABI;6;5;CHE;LUIGI;;;;;;
INF;4;;REG;2;;;false;cgerma;;;;bcarba;;3;JOAQUIN;KIKE;6;1;ABLANEDO;LUIS;;;;;;
INF;5;;REG;2;;;false;cgerma;;;;bcarba;;4;ALLENDE;FANDIÑO;4;6;CHUS;JOSE LUIS;;;;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;2;28;15/12/2016;true;monchi;PEÑA MUS MONCHI;3;1;andrea;BAR D'ANDREA;1;MONCHI;REGUERO;6;3;FERRERAS;KIKE;;;;;;
INF;8;;REG;2;;;false;monchi;;;;andrea;;2;RABADAN;BERNARDO;3;6;LITRI;OCTAVIO;;;;;;
INF;9;;REG;2;;;false;monchi;;;;andrea;;3;PEPE;FONSO;6;1;TINO;JUAN;;;;;;
INF;10;;REG;2;;;false;monchi;;;;andrea;;4;JUANJO;DAVID;6;3;DANI;ISMA;;;;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;2;28;15/12/2016;true;cvalsa;CAFETERÍA VALSA;2;2;8villa;8 VILLAS;1;PARAMIO;NACHO;6;4;URE;KIKO;;;;;;
INF;13;;REG;2;;;false;cvalsa;;;;8villa;;2;FERNANDO;MURAS;3;6;ALVARO;M. JESUS;;;;;;
INF;14;;REG;2;;;false;cvalsa;;;;8villa;;3;JOSE;MARCOS;6;3;NACHO;HUMBERTO;;;;;;
INF;15;;REG;2;;;false;cvalsa;;;;8villa;;4;LUIS;IÑAKI;5;6;JUAN;KIKE;;;;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;2;28;15/12/2016;true;ccelti;CÉLTICA;3;1;catere;CASA TERE;1;MAITE;FALO;2;6;BELLANCO;PUPI;;;;;;
INF;18;;REG;2;;;false;ccelti;;;;catere;;2;CHININ;CHININ II;6;3;PEPE;CLETO;;;;;;
INF;19;;REG;2;;;false;ccelti;;;;catere;;3;PICHINA;BUSTO;6;3;JAVI;VILA;;;;;;
INF;20;;REG;2;;;false;ccelti;;;;catere;;4;ZELUAN;LUNA;6;1;PICHI;ANTONIO;;;;;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;2;28;15/12/2016;true;calolo;CA LOLO;3;1;habana;BAR HABANA;1;COTE;MANU;6;5;MARGA;PESTONI;;;;;;
INF;23;;REG;2;;;false;calolo;;;;habana;;2;GUILLER;PARAMIO;6;5;PANAKAS;PANA;;;;;;
INF;24;;REG;2;;;false;calolo;;;;habana;;3;DANI;MARCOS;3;6;SIXTO;PACHIN;;;;;;
INF;25;;REG;2;;;false;calolo;;;;habana;;4;SOPEÑA;JUSTO;6;3;JOSE;MANOLO;;;;;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;;
INF;27;2016/17;REG;2;28;15/12/2016;true;barena;PEÑA LA ARENA ;4;0;brenya;LA BREÑA ;1;DAVID;TURBO;6;5;VAQUERO;JUAN;;;;;;
INF;28;;REG;2;;;false;barena;;;;brenya;;2;OMAR;FELIPE;6;4;GLORIA;FRANCISCO;;;;;;
INF;29;;REG;2;;;false;barena;;;;brenya;;3;LUIS;RODRIGO;6;3;SALVA;FRANCISCO;;;;;;
INF;30;;REG;2;;;false;barena;;;;brenya;;4;JUAN;PEPE;6;2;POLI;MANOLITO;;;;;;
COM;31;;;;;;;;;;;;;;;;;;;;;;;;;
INF;32;2016/17;REG;2;28;15/12/2016;true;bcampy;BAR CAMPY;2;2;bxareu;XAREU;1;LLORENTE;ANTONIO;6;5;ARIAS;CARBAYO;;;;;;
INF;33;;REG;2;;;false;bcampy;;;;bxareu;;2;PACO;YIMI;6;5;NANDO;GASPAR;;;;;;
INF;34;;REG;2;;;false;bcampy;;;;bxareu;;3;J. CARLOS;ALFREDO;1;6;OVIDIO;MARAVILLAS;;;;;;
INF;35;;REG;2;;;false;bcampy;;;;bxareu;;4;JOSE;CAO;5;6;CARLOS;LOLO;;;;;;
COM;36;;;;;;;;;;;;;;;;;;;;;;;;;
