COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;1;26;01/12/2016;true;picosa;LA PICOSA;0;4;sagkam;S.AG.-KAME.NET;1;PITI;ANIA;5;6;JUANI;ISIDRO;;;;;;
INF;3;;REG;1;;;false;picosa;;;;sagkam;;2;CHUS;PEPE;3;6;GAYOL;PINTO;;;;;;
INF;4;;REG;1;;;false;picosa;;;;sagkam;;3;KIKE;CARLOS;5;6;MENOTI;PRIETO;;;;;;
INF;5;;REG;1;;;false;picosa;;;;sagkam;;4;DAMIAN;CARLINOS;3;6;ANGEL;ARTURO;;;;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;1;26;01/12/2016;true;cebano;CAFÉ BAR ÉBANO;2;2;sagrib;S.AG.-RÍAS BAIXAS;1;TOÑO;MUÑIZ;0;6;COLLADO;BENJA;;;;;;
INF;8;;REG;1;;;false;cebano;;;;sagrib;;2;FRAN;LUIS;2;6;GERARDO;OSCAR;;;;;;
INF;9;;REG;1;;;false;cebano;;;;sagrib;;3;ANGEL RAMON;JULIO;6;2;VICTOR;CHEMI;;;;;;
INF;10;;REG;1;;;false;cebano;;;;sagrib;;4;NICO;TINO;6;4;FRAN;JAIME;;;;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;1;26;01/12/2016;true;rcarol;RINCÓN DE CAROL;1;3;4vient;4 VIENTOS;1;GABI;CHUS;3;6;KIRIKI;JOSE LUIS;;;;;;
INF;13;;REG;1;;;false;rcarol;;;;4vient;;2;DANI;JOSE MIGUEL;3;6;CARLOTO;MALAGA;;;;;;
INF;14;;REG;1;;;false;rcarol;;;;4vient;;3;ALFREDO;BELLO;4;6;PERFE;RAMON;;;;;;
INF;15;;REG;1;;;false;rcarol;;;;4vient;;4;ALFONSO;ISRA;6;2;GARRIDO;PRIETO;;;;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;1;26;01/12/2016;true;valmus;VALSA MUS;2;2;churre;CHURRERÍA;1;JOSE LUIS;PACO;3;5;JAVIER;RAMON;;;;;;
INF;18;;REG;1;;;false;valmus;;;;churre;;2;JUSTO;JULIO;6;5;JANO;LUIS;;;;;;
INF;19;;REG;1;;;false;valmus;;;;churre;;3;JANDRO;MIGUEL;6;0;PACO;JAVI;;;;;;
INF;20;;REG;1;;;false;valmus;;;;churre;;4;JAVI;FELIPE;5;6;JUAN;JOSE;;;;;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;1;26;01/12/2016;true;sagcel;S.AG.-CÉLTICA;2;2;albora;SIDRERÍA ALBORADA ;1;TRIKI;MANU;6;1;CALVETE;MARIANO;;;;;;
INF;23;;REG;1;;;false;sagcel;;;;albora;;2;SONIA;JOSE;4;6;OMAR;GUELO;;;;;;
INF;24;;REG;1;;;false;sagcel;;;;albora;;3;FA;IÑAKI;3;6;PADILLA;FERNANDO;;;;;;
INF;25;;REG;1;;;false;sagcel;;;;albora;;4;CHEMA;ALICIA;6;4;GAN;GELO;;;;;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;;
INF;27;2016/17;REG;1;26;01/12/2016;true;acveig;AC MUS VEIGA;2;2;bxareu;XAREU;1;MILLAN;ZICO;4;6;CARLOS;LOLO;;;;;;
