TURBO;BAR LA ARENA;3;2;1;1;1;0;2;1;1;16;12;0.6666667;0.5714286
CHININ;CÉLTICA;3;2;1;1;0;1;2;2;0;17;13;0.6666667;0.56666666
CHININ II;CÉLTICA;3;2;1;1;0;1;2;2;0;17;13;0.6666667;0.56666666
ALFREDO;RINCÓN DE CAROL;3;2;1;2;1;1;1;1;0;13;10;0.6666667;0.5652174
FALO;CÉLTICA;3;2;1;1;1;0;2;1;1;13;10;0.6666667;0.5652174
MAITE;CÉLTICA;3;2;1;1;1;0;2;1;1;13;10;0.6666667;0.5652174
DANI;BAR D'ANDREA;3;2;1;2;1;1;1;1;0;14;11;0.6666667;0.56
FELIPE;VALSA MUS;3;2;1;2;2;0;1;0;1;14;11;0.6666667;0.56
ISMA;BAR D'ANDREA;3;2;1;2;1;1;1;1;0;14;11;0.6666667;0.56
GERARDO;S.AG.-RÍAS BAIXAS;3;2;1;1;1;0;2;1;1;15;12;0.6666667;0.5555556
CLETO;CASA TERE;3;2;1;2;1;1;1;1;0;15;13;0.6666667;0.53571427
FELIPE;BAR LA ARENA;3;2;1;1;1;0;2;1;1;15;13;0.6666667;0.53571427
JOACO;BAR LA ARENA;3;2;1;1;1;0;2;1;1;15;13;0.6666667;0.53571427
PEPE;CASA TERE;3;2;1;2;1;1;1;1;0;15;13;0.6666667;0.53571427
TRIKI;S.AG.-CÉLTICA;3;2;1;2;1;1;1;1;0;15;13;0.6666667;0.53571427
NACHO;8 VILLAS;3;2;1;2;1;1;1;1;0;17;15;0.6666667;0.53125
FRANCISCO;LA BREÑA;3;2;1;3;2;1;0;0;0;14;13;0.6666667;0.5185185
ELOY;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;16;15;0.6666667;0.516129
TINO;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;16;15;0.6666667;0.516129
ANTONIO;4 VIENTOS;3;2;1;1;0;1;2;2;0;17;16;0.6666667;0.5151515
CALVETE;SIDRERÍA ALBORADA;3;2;1;1;0;1;2;2;0;17;16;0.6666667;0.5151515
HERRERO;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;17;16;0.6666667;0.5151515
OMAR;SIDRERÍA ALBORADA;3;2;1;1;0;1;2;2;0;17;16;0.6666667;0.5151515
PEPE;BAR CAMPY;3;2;1;1;1;0;2;1;1;17;16;0.6666667;0.5151515
ZURDO;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;17;16;0.6666667;0.5151515
ALVARO;8 VILLAS;3;2;1;2;1;1;1;1;0;14;14;0.6666667;0.5
ALVARO;S.AG.-RÍAS BAIXAS;3;2;1;1;0;1;2;2;0;16;16;0.6666667;0.5
COLLADO;S.AG.-RÍAS BAIXAS;3;2;1;1;0;1;2;2;0;16;16;0.6666667;0.5
LLORENTE;BAR CAMPY;3;2;1;1;1;0;2;1;1;13;14;0.6666667;0.4814815
PRIETO;4 VIENTOS;3;2;1;1;0;1;2;2;0;13;15;0.6666667;0.4642857
SARRY;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;13;15;0.6666667;0.4642857
ZICO;AC MUS VEIGA;3;2;1;2;1;1;1;1;0;13;15;0.6666667;0.4642857
JUAN;BAR D'ANDREA;3;2;1;2;1;1;1;1;0;12;14;0.6666667;0.46153846
TINO;BAR D'ANDREA;3;2;1;2;1;1;1;1;0;12;14;0.6666667;0.46153846
ALFONSO;S.AG.-KAME.NET;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
BARREIROS;CAFÉ BAR ÉBANO;1;1;0;0;0;0;1;1;0;6;1;1.0;0.85714287
ESTEBAN;XAREU;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
FERNANDO;VALSA MUS;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
GENI;CASA TERE;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
JANDRO;VALSA MUS;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
LUEJE;MUS EL CHALANÍN;1;1;0;1;1;0;0;0;0;6;1;1.0;0.85714287
TINO;CAFÉ BAR ÉBANO;1;1;0;0;0;0;1;1;0;6;1;1.0;0.85714287
ALICIA;S.AG.-CÉLTICA;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
DAVID;BAR LA ARENA;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
FA;S.AG.-CÉLTICA;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
JOSE;BAR CAMPY;1;1;0;0;0;0;1;1;0;6;2;1.0;0.75
JUAN;CASA GERMÁN;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
JUSTO;C'LOLO;1;1;0;0;0;0;1;1;0;6;2;1.0;0.75
KIKE;CASA GERMÁN;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
LUIS;PEÑA CARBAYEDO;1;1;0;0;0;0;1;1;0;6;2;1.0;0.75
VAQUERO II;LA BREÑA;1;1;0;1;1;0;0;0;0;6;2;1.0;0.75
CHICO;8 VILLAS;1;1;0;1;1;0;0;0;0;6;3;1.0;0.6666667
GUTI;AC MUS VEIGA;1;1;0;1;1;0;0;0;0;6;3;1.0;0.6666667
JIMI;BAR CAMPY;1;1;0;0;0;0;1;1;0;6;3;1.0;0.6666667
JOSE;LA PICOSA;1;1;0;0;0;0;1;1;0;6;3;1.0;0.6666667
MILLAN;AC MUS VEIGA;1;1;0;1;1;0;0;0;0;6;3;1.0;0.6666667
PACO;LA PICOSA;1;1;0;0;0;0;1;1;0;6;3;1.0;0.6666667
PESTONI II;BAR HABANA;1;1;0;1;1;0;0;0;0;6;3;1.0;0.6666667
VIERO;CHURRERÍA;1;1;0;1;1;0;0;0;0;6;3;1.0;0.6666667
ANGEL RAMON;CAFÉ BAR ÉBANO;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
ANIA;LA PICOSA;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
BENI;CAFETERÍA VALSA;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
CESAR;CASA TERE;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
ELICIO;CASA TERE;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
FERMIN;BAR LA ARENA;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
IÑAKI;CAFETERÍA VALSA;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
JANO;CHURRERÍA;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
JAVI;RINCÓN DE CAROL;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
JOSE LUIS;4 VIENTOS;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
JUANMA;BAR LA ARENA;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
JULIO;CAFÉ BAR ÉBANO;1;1;0;1;1;0;0;0;0;6;4;1.0;0.6
MANOLO;8 VILLAS;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
MIGUEL;PEÑA CARBAYEDO;1;1;0;0;0;0;1;1;0;6;4;1.0;0.6
