COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;puntos sanción peña local;puntos sanción peña visitante;fin líena;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;2;51;27/02/2017;true;sagrib;S.AG.-RÍAS BAIXAS;4;0;chalan;MUS EL CHALANÍN;1;GERARDO;OSCAR;6;4;LASTRA;MARIO;;;ENDL;;;;;;
INF;3;;REG;2;;;false;sagrib;;;;chalan;;2;ARTURO;TONI;6;2;DIEGO;CHEMA;;;ENDL;;;;;;
INF;4;;REG;2;;;false;sagrib;;;;chalan;;3;FRAN;BENJA;6;4;KYLLO;GORI;;;ENDL;;;;;;
INF;5;;REG;2;;;false;sagrib;;;;chalan;;4;NACHO;JAIME;6;5;SILVI;DANI;;;ENDL;;;;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;2;51;27/02/2017;true;4vient;4 VIENTOS;1;3;picosa;LA PICOSA;1;RAMON;ANTONIO;6;4;CHUS;PEPE;;;ENDL;;;;;;
INF;8;;REG;2;;;false;4vient;;;;picosa;;2;KIRIKI;CARLOTO;1;6;CHORI;KIKE;;;ENDL;;;;;;
INF;9;;REG;2;;;false;4vient;;;;picosa;;3;PRIETO;JOSE LUIS;5;6;PACO;CARLINOS;;;ENDL;;;;;;
INF;10;;REG;2;;;false;4vient;;;;picosa;;4;ROBLES;MALAGA;5;6;GELO;ANIA;;;ENDL;;;;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;2;51;27/02/2017;true;churre;CHURRERÍA;0;4;cebano;CAFÉ BAR ÉBANO;1;RAMON;JAVIER;5;6;ANGEL RAMON;JULIO;;;ENDL;;;;;;
INF;13;;REG;2;;;false;churre;;;;cebano;;2;RICHARD;JUAN;3;6;TINO;CARLON;;;ENDL;;;;;;
INF;14;;REG;2;;;false;churre;;;;cebano;;3;AZA;JANO;2;6;LUIS;NICO;;;ENDL;;;;;;
INF;15;;REG;2;;;false;churre;;;;cebano;;4;PACO;LUIS;4;6;BARREIROS;LUPI;;;ENDL;;;;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;2;51;27/02/2017;true;albora;SIDRERÍA ALBORADA ;3;1;rcarol;RINCÓN DE CAROL;1;PADILLA;MANOLO;6;3;GABI;CHEMA;;;ENDL;;;;;;
