COM;1;temporada;tipo liga;vuelta;jornada;fecha jornada;is Match;id peña local;peña local;local mesas ganadas;visitante mesas ganadas;id peña visitante;peña visitante;número mesa;peña local  jugador 1;peña local   jugador 2;local chicos a favor;visitante chicos a favor;peña visitante jugador 1;peña visitante jugador 2;;NUEVO peña local  jugador 1;NUEVO peña local   jugador 2;NUEVO peña visitante  jugador 1;NUEVO peña visitante  jugador 2;
INF;2;2016/17;REG;1;21;14/11/2016;true;4vient;4 VIENTOS;3;1;sagrib;S.AG.-RÍAS BAIXAS;1;KIRIKI;CARLOTO;6;3;CHEMI;VICTOR;;;ENDL;;;
INF;3;;REG;1;;;false;4vient;;;;sagrib;;2;GARRIDO;PERFE;6;5;ARTURO;TONI;;;ENDL;;;
INF;4;;REG;1;;;false;4vient;;;;sagrib;;3;RAMON;ANTONIO;6;3;ALVARO;COLLADO;;;ENDL;;;
INF;5;;REG;1;;;false;4vient;;;;sagrib;;4;PRIETO;MALAGA;0;6;FRAN;JAIME;;;ENDL;;;
COM;6;;;;;;;;;;;;;;;;;;;;;;;;;
INF;7;2016/17;REG;1;21;14/11/2016;true;churre;CHURRERÍA;2;2;sagkam;S.AG.-KAME.NET;1;RICHARD;JOSE;3;6;ANGEL;MENOTI;;;ENDL;;;
INF;8;;REG;1;;;false;churre;;;;sagkam;;2;AZA;JUAN;3;6;ALFONSO;ARTURO;;;ENDL;;;
INF;9;;REG;1;;;false;churre;;;;sagkam;;3;LUIS;JANO;6;5;JUANI;ISIDRO;;;ENDL;;;
INF;10;;REG;1;;;false;churre;;;;sagkam;;4;PACO;JAVIER;6;4;GAYOL;PINTO;;;ENDL;;;
COM;11;;;;;;;;;;;;;;;;;;;;;;;;;
INF;12;2016/17;REG;1;21;14/11/2016;true;albora;SIDRERÍA ALBORADA ;3;1;chalan;MUS EL CHALANÍN;1;PADILLA;FERNANDO;6;3;KYLLO;GORI;;;ENDL;;;
INF;13;;REG;1;;;false;albora;;;;chalan;;2;FALO;MARIANO;6;4;POPE;DIEGO;;;ENDL;;;
INF;14;;REG;1;;;false;albora;;;;chalan;;3;OMAR;LUIS;6;2;DOLO;DANI;;;ENDL;;;
INF;15;;REG;1;;;false;albora;;;;chalan;;4;GUELO;JOSE;4;6;LASTRA;FELIPE;;;ENDL;;;
COM;16;;;;;;;;;;;;;;;;;;;;;;;;;
INF;17;2016/17;REG;1;21;14/11/2016;true;bxareu;XAREU;2;2;picosa;LA PICOSA;1;ROSA;BAO;5;6;CHORI;KIKE;;;ENDL;;;
INF;18;;REG;1;;;false;bxareu;;;;picosa;;2;ARIAS;MARAVILLAS;4;6;PITI;ANIA;;;ENDL;;;
INF;19;;REG;1;;;false;bxareu;;;;picosa;;3;NANDO;GASPAR;6;3;CHUS;ARSENIO;;;ENDL;;;
INF;20;;REG;1;;;false;bxareu;;;;picosa;;4;CARLOS;LOLO;6;2;DAMIAN;CARLINOS;;;ENDL;;;
COM;21;;;;;;;;;;;;;;;;;;;;;;;;;
INF;22;2016/17;REG;1;21;14/11/2016;true;barena;BAR LA ARENA ;3;1;cebano;CAFÉ BAR ÉBANO;1;PEPE;JUAN;6;1;TOÑO;MUÑIZ;;;ENDL;;;
INF;23;;REG;1;;;false;barena;;;;cebano;;2;FRAN;DAVID;6;4;FRAN;LUIS;;;ENDL;;;
INF;24;;REG;1;;;false;barena;;;;cebano;;3;FERMIN;JUANMA;4;6;CARLON;MIGUEL;;;ENDL;;;
INF;25;;REG;1;;;false;barena;;;;cebano;;4;FELIPE;OMAR;6;3;LOZANO;BARREIROS;;;ENDL;;;
COM;26;;;;;;;;;;;;;;;;;;;;;;;;;
INF;27;2016/17;REG;1;21;14/11/2016;true;calolo;CA LOLO;3;1;rcarol;RINCÓN DE CAROL;1;COTE;MANU;6;4;DEME;TEO;;;ENDL;;;
INF;28;;REG;1;;;false;calolo;;;;rcarol;;2;JUSTO;ISIDORO;6;2;GABI;ANIBAL;;;ENDL;;;
INF;29;;REG;1;;;false;calolo;;;;rcarol;;3;HUGO;ELOY;6;2;ALFREDO;BELLO;;;ENDL;;;
INF;30;;REG;1;;;false;calolo;;;;rcarol;;4;SOPEÑA;EDU;4;6;ALFONSO;CHUS;;;ENDL;;;
COM;31;;;;;;;;;;;;;;;;;;;;;;;;;
INF;32;2016/17;REG;1;21;14/11/2016;true;ccelti;CÉLTICA;3;1;valmus;VALSA MUS;1;MAITE;FALO;1;6;JAVI;FELIPE;;;ENDL;;;
INF;33;;REG;1;;;false;ccelti;;;;valmus;;2;CHININ;CHININ II;6;3;JANDRO;FERNANDO;;;ENDL;;;
INF;34;;REG;1;;;false;ccelti;;;;valmus;;3;PICHINA;BUSTO;6;2;MEDINA;ALFREDO;;;ENDL;;;
INF;35;;REG;1;;;false;ccelti;;;;valmus;;4;LUNA;ZELUAN;6;2;JOSE LUIS;MIGUEL;;;ENDL;;;
COM;36;;;;;;;;;;;;;;;;;;;;;;;;;
INF;37;2016/17;REG;1;21;14/11/2016;true;cvalsa;CAFETERÍA VALSA;3;1;sagcel;S.AG.-CÉLTICA;1;NACHO;MARCOS;0;6;IÑAKI;JAVI;;;ENDL;;;
INF;38;;REG;1;;;false;cvalsa;;;;sagcel;;2;FERNANDO;MURAS;6;4;SONIA;JOSE;;;ENDL;;;
INF;39;;REG;1;;;false;cvalsa;;;;sagcel;;3;GABI;CAMPANA;6;5;TRIKI;CHEMA;;;ENDL;;;
INF;40;;REG;1;;;false;cvalsa;;;;sagcel;;4;IÑAKI;PEREZ;6;2;CARLOS;FA;;;ENDL;;;
COM;41;;;;;;;;;;;;;;;;;;;;;;;;;
INF;42;2016/17;REG;1;21;14/11/2016;true;monchi;PEÑA MUS MONCHI;3;1;acveig;AC MUS VEIGA;1;MONCHI;JUANJO;6;2;MILLAN;GUTI;;;ENDL;;;
INF;43;;REG;1;;;false;monchi;;;;acveig;;2;RABADAN;BERNARDO;6;3;TINO;ELOY;;;ENDL;;;
INF;44;;REG;1;;;false;monchi;;;;acveig;;3;FRAN;FONSO;6;5;FAILDE;ZICO;;;ENDL;;;
INF;45;;REG;1;;;false;monchi;;;;acveig;;4;JOTI;YONATAN;4;6;EMILIO;ADAN;;;ENDL;;;
COM;46;;;;;;;;;;;;;;;;;;;;;;;;;
INF;47;2016/17;REG;1;21;14/11/2016;true;cgerma;CASA GERMÁN;4;0;capiol;CAFÉ BAR PIOL;1;MORAN;VIÑA;6;3;SALAS;ESTHER;;;ENDL;;;
INF;48;;REG;1;;;false;cgerma;;;;capiol;;2;ESPINA;FANDIÑO;6;1;OVIES;ANTONIO;;;ENDL;;;
INF;49;;REG;1;;;false;cgerma;;;;capiol;;3;TOÑO;JOAQUIN;6;5;FELIX;JOSE;;;ENDL;;;
INF;50;;REG;1;;;false;cgerma;;;;capiol;;4;KIKE;JAVIER;6;5;AZU;PILI;;;ENDL;;;
COM;51;;;;;;;;;;;;;;;;;;;;;;;;;
INF;52;2016/17;REG;1;21;14/11/2016;true;bcarba;PEÑA CARBAYEDO;2;2;bcampy;BAR CAMPY;1;HOMERO;JOSE LUIS;2;6;SERGIO;JOSE;;;ENDL;;;
INF;53;;REG;1;;;false;bcarba;;;;bcampy;;2;TOÑO;JAVI;6;1;LLORENTE;ANTONIO;;;ENDL;;;
INF;54;;REG;1;;;false;bcarba;;;;bcampy;;3;LUIGI;ABLANEDO;6;5;J. CARLOS;PEPE;;;ENDL;;;
INF;55;;REG;1;;;false;bcarba;;;;bcampy;;4;CHUS;CHE;3;6;PACO;YIMI;;;ENDL;;;
COM;56;;;;;;;;;;;;;;;;;;;;;;;;;
INF;57;2016/17;REG;1;21;14/11/2016;true;andrea;BAR D'ANDREA;2;2;brenya;LA BREÑA ;1;DANI;GIL;6;4;FRANCISCO;POLI;;;ENDL;;;
INF;58;;REG;1;;;false;andrea;;;;brenya;;2;FERRERAS;KIKE;4;6;KARLOS;VAQUERO II;;;ENDL;;;
INF;59;;REG;1;;;false;andrea;;;;brenya;;3;LITRI;OCTAVIO;5;6;GLORIA;VIGIL;;;ENDL;;;
